id;age;weight;height;sex
927;125,19;32,5;144,9;M
928;119,9;26,9;132,4;M
929;121,08;25,7;128,95;F
930;118,98;28;135;M
931;122,27;28,9;136,5;F
932;122,4;27,3;132,5;F
933;115,99;30,7;141,75;F
934;125,46;30;138,5;M
935;120,33;35;150;M
936;115,82;26,6;131,5;F
937;124,7;38;155;F
938;116,78;29,8;138,5;F
939;125,52;31,9;141,5;F
940;115,4;34;148;M
941;125,79;34,5;147,5;M
942;120,82;28,5;134,8;M
943;122,93;31,7;141,55;F
944;120,36;33,3;145,3;M
945;114,71;25,7;128,35;F
946;114,97;30,4;139,5;F
947;121,28;26,9;130,1;M
948;122,79;32,3;142,35;M
949;119,97;30;137,2;F
950;124,67;26,7;129;M
951;114,08;29,3;136,3;F
952;117,3;28,5;133,6;F
953;119,9;24,4;123,55;M
954;125,39;34;144;F
955;116,15;27,9;132;F
956;117,24;32;141;F
957;123,98;33,9;143,9;F
958;124,9;28;131,1;M
959;119,28;26,3;127,1;F
960;121,61;27,5;130,05;M
961;120,89;32,5;141,5;M
962;124,9;33,7;143,4;M
963;119,11;29,3;134,45;M
964;120,85;30,9;137,85;M
965;122,76;34,9;145,25;F
966;117,53;27,8;130,45;F
967;121,02;30;135,35;M
968;114,84;32,2;141,25;M
969;122,01;28,3;130,65;F
970;114,38;25;123,95;F
